Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Número de Veículos,Tipo de Veículos
Ro-Ro A,2023-01-01,Singapura,Combustível,"21,716.84",Combustível em Singapura,,
Ro-Ro B,2023-01-01,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-01,Singapura,Embarque e Desembarque,"132,400.00",Embarque e desembarque de 662 Caminhões,662.0,Caminhões
Ro-Ro B,2023-01-01,Roterdã,Manutenção,"1,237.28",Manutenção e reparos,,
Ro-Ro B,2023-01-01,Singapura,Manutenção,"3,053.89",Manutenção e reparos,,
Ro-Ro C,2023-01-01,Los Angeles,Taxas Portuárias,"1,776.27",Taxas portuárias em Los Angeles,,
Ro-Ro C,2023-01-01,Los Angeles,Taxas Portuárias,"2,218.87",Taxas portuárias em Los Angeles,,
Ro-Ro C,2023-01-01,Singapura,Taxas Portuárias,"4,802.06",Taxas portuárias em Singapura,,
Ro-Ro C,2023-01-01,Xangai,Manutenção,"3,230.84",Manutenção e reparos,,
Ro-Ro C,2023-01-01,Singapura,Combustível,"8,561.97",Combustível em Singapura,,
Ro-Ro D,2023-01-01,Los Angeles,Embarque e Desembarque,"34,400.00",Embarque e desembarque de 430 Carros,430.0,Carros
Ro-Ro D,2023-01-01,Roterdã,Manutenção,"3,893.38",Manutenção e reparos,,
Ro-Ro E,2023-01-01,Los Angeles,Embarque e Desembarque,"185,200.00",Embarque e desembarque de 926 Caminhões,926.0,Caminhões
Ro-Ro A,2023-01-02,Singapura,Manutenção,999.23,Manutenção e reparos,,
Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,"5,708.94",Taxas portuárias em Xangai,,
Ro-Ro A,2023-01-02,Xangai,Manutenção,"3,545.85",Manutenção e reparos,,
Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,"2,043.51",Taxas portuárias em Xangai,,
Ro-Ro A,2023-01-02,Xangai,Taxas Portuárias,"2,348.67",Taxas portuárias em Xangai,,
Ro-Ro B,2023-01-02,Singapura,Combustível,"22,879.42",Combustível em Singapura,,
Ro-Ro B,2023-01-02,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-02,Singapura,Taxas Portuárias,"4,565.77",Taxas portuárias em Singapura,,
Ro-Ro C,2023-01-02,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-02,Singapura,Taxas Portuárias,"3,822.04",Taxas portuárias em Singapura,,
Ro-Ro D,2023-01-02,Xangai,Taxas Portuárias,"2,567.06",Taxas portuárias em Xangai,,
Ro-Ro D,2023-01-02,Singapura,Combustível,"17,446.63",Combustível em Singapura,,
Ro-Ro D,2023-01-02,Los Angeles,Taxas Portuárias,"2,688.15",Taxas portuárias em Los Angeles,,
Ro-Ro E,2023-01-02,Los Angeles,Taxas Portuárias,"2,560.96",Taxas portuárias em Los Angeles,,
Ro-Ro A,2023-01-03,Singapura,Combustível,"16,240.98",Combustível em Singapura,,
Ro-Ro A,2023-01-03,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-03,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-03,Singapura,Embarque e Desembarque,"186,600.00",Embarque e desembarque de 933 Caminhões,933.0,Caminhões
Ro-Ro C,2023-01-03,Singapura,Combustível,"15,439.21",Combustível em Singapura,,
Ro-Ro D,2023-01-03,Los Angeles,Taxas Portuárias,"5,362.99",Taxas portuárias em Los Angeles,,
Ro-Ro D,2023-01-03,Xangai,Combustível,"24,621.25",Combustível em Xangai,,
Ro-Ro E,2023-01-03,Singapura,Manutenção,"1,456.38",Manutenção e reparos,,
Ro-Ro E,2023-01-03,Singapura,Combustível,"18,976.67",Combustível em Singapura,,
Ro-Ro E,2023-01-03,Xangai,Manutenção,849.01,Manutenção e reparos,,
Ro-Ro E,2023-01-03,Xangai,Taxas Portuárias,"3,590.57",Taxas portuárias em Xangai,,
Ro-Ro E,2023-01-03,Roterdã,Taxas Portuárias,"2,897.28",Taxas portuárias em Roterdã,,
Ro-Ro A,2023-01-04,Hamburgo,Combustível,"9,221.86",Combustível em Hamburgo,,
Ro-Ro A,2023-01-04,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-04,Xangai,Manutenção,"2,177.96",Manutenção e reparos,,
Ro-Ro B,2023-01-04,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-04,Hamburgo,Taxas Portuárias,"4,173.49",Taxas portuárias em Hamburgo,,
Ro-Ro B,2023-01-04,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro C,2023-01-04,Xangai,Combustível,"16,781.23",Combustível em Xangai,,
Ro-Ro C,2023-01-04,Roterdã,Manutenção,"2,592.74",Manutenção e reparos,,
Ro-Ro C,2023-01-04,Singapura,Taxas Portuárias,"5,978.84",Taxas portuárias em Singapura,,
Ro-Ro C,2023-01-04,Los Angeles,Manutenção,"2,480.57",Manutenção e reparos,,
Ro-Ro C,2023-01-04,Roterdã,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-04,Singapura,Seguros,"1,800.00",Seguro diário,,
Ro-Ro D,2023-01-04,Los Angeles,Manutenção,"3,411.20",Manutenção e reparos,,
Ro-Ro E,2023-01-04,Los Angeles,Combustível,"9,364.24",Combustível em Los Angeles,,
Ro-Ro E,2023-01-04,Los Angeles,Manutenção,"2,295.44",Manutenção e reparos,,
Ro-Ro E,2023-01-04,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-04,Singapura,Taxas Portuárias,"5,193.98",Taxas portuárias em Singapura,,
Ro-Ro A,2023-01-05,Los Angeles,Seguros,"1,800.00",Seguro diário,,
Ro-Ro A,2023-01-05,Los Angeles,Combustível,"17,526.87",Combustível em Los Angeles,,
Ro-Ro B,2023-01-05,Singapura,Embarque e Desembarque,"145,400.00",Embarque e desembarque de 727 Caminhões,727.0,Caminhões
Ro-Ro B,2023-01-05,Xangai,Seguros,"1,800.00",Seguro diário,,
Ro-Ro B,2023-01-05,Roterdã,Combustível,"14,475.82",Combustível em Roterdã,,
Ro-Ro B,2023-01-05,Singapura,Manutenção,"3,602.63",Manutenção e reparos,,
Ro-Ro C,2023-01-05,Hamburgo,Embarque e Desembarque,"49,080.00",Embarque e desembarque de 409 Outros,409.0,Outros
Ro-Ro C,2023-01-05,Roterdã,Combustível,"10,114.77",Combustível em Roterdã,,
Ro-Ro D,2023-01-05,Roterdã,Taxas Portuárias,"4,410.88",Taxas portuárias em Roterdã,,
Ro-Ro D,2023-01-05,Roterdã,Combustível,"9,852.37",Combustível em Roterdã,,
Ro-Ro D,2023-01-05,Singapura,Embarque e Desembarque,"27,600.00",Embarque e desembarque de 138 Caminhões,138.0,Caminhões
Ro-Ro D,2023-01-05,Xangai,Manutenção,"2,403.01",Manutenção e reparos,,
Ro-Ro E,2023-01-05,Hamburgo,Seguros,"1,800.00",Seguro diário,,
Ro-Ro E,2023-01-05,Hamburgo,Embarque e Desembarque,"39,440.00",Embarque e desembarque de 493 Carros,493.0,Carros
Ro-Ro E,2023-01-05,Los Angeles,Combustível,"16,058.55",Combustível em Los Angeles,,
Ro-Ro E,2023-01-05,Hamburgo,Combustível,"13,131.95",Combustível em Hamburgo,,
Ro-Ro E,2023-01-05,Los Angeles,Combustível,"20,948.70",Combustível em Los Angeles,,
