id_log,Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Volume,Temperatura,Tonelagem,Número de Contêineres,Tipo de Contêineres,Número de Veículos,Tipo de Veículos,ID do Navio
1,Carga Geral A,2023-01-01,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
72,Carga Geral A,2023-01-02,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
152,Carga Geral A,2023-01-03,Xangai,Manutenção,"3,978.51",Manutenção e reparos,,,,,,,,,1
227,Carga Geral A,2023-01-04,Xangai,Manutenção,"2,887.06",Manutenção e reparos,,,,,,,,,1
228,Carga Geral A,2023-01-04,Singapura,Carregamento/Descarga,"10,321.00",Carregamento/descarga de 20642 m³ de Granéis Sólidos,Granéis Sólidos,20642.0,,,,,,,1
314,Carga Geral A,2023-01-05,Xangai,Manutenção,"2,024.71",Manutenção e reparos,,,,,,,,,1
315,Carga Geral A,2023-01-05,Los Angeles,Taxas Portuárias,"2,748.56",Taxas portuárias em Los Angeles,,,,,,,,,1
316,Carga Geral A,2023-01-05,Roterdã,Taxas Portuárias,"3,286.07",Taxas portuárias em Roterdã,,,,,,,,,1
317,Carga Geral A,2023-01-05,Singapura,Combustível,"8,127.65",Combustível em Singapura,,,,,,,,,1
397,Carga Geral A,2023-01-06,Hamburgo,Manutenção,"3,677.15",Manutenção e reparos,,,,,,,,,1
467,Carga Geral A,2023-01-07,Roterdã,Carregamento/Descarga,"4,791.00",Carregamento/descarga de 9582 m³ de Granéis Sólidos,Granéis Sólidos,9582.0,,,,,,,1
468,Carga Geral A,2023-01-07,Roterdã,Carregamento/Descarga,"24,979.50",Carregamento/descarga de 49959 m³ de Granéis Sólidos,Granéis Sólidos,49959.0,,,,,,,1
469,Carga Geral A,2023-01-07,Singapura,Taxas Portuárias,"5,199.73",Taxas portuárias em Singapura,,,,,,,,,1
537,Carga Geral A,2023-01-08,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
538,Carga Geral A,2023-01-08,Hamburgo,Carregamento/Descarga,"16,498.40",Carregamento/descarga de 20623 m³ de Carga Solta,Carga Solta,20623.0,,,,,,,1
539,Carga Geral A,2023-01-08,Los Angeles,Carregamento/Descarga,"28,508.40",Carregamento/descarga de 23757 m³ de Contêineres,Contêineres,23757.0,,,,,,,1
610,Carga Geral A,2023-01-09,Roterdã,Taxas Portuárias,"5,382.33",Taxas portuárias em Roterdã,,,,,,,,,1
611,Carga Geral A,2023-01-09,Singapura,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
612,Carga Geral A,2023-01-09,Singapura,Manutenção,"3,123.46",Manutenção e reparos,,,,,,,,,1
613,Carga Geral A,2023-01-09,Singapura,Taxas Portuárias,"5,620.34",Taxas portuárias em Singapura,,,,,,,,,1
614,Carga Geral A,2023-01-09,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
687,Carga Geral A,2023-01-10,Xangai,Carregamento/Descarga,"5,938.40",Carregamento/descarga de 7423 m³ de Carga Solta,Carga Solta,7423.0,,,,,,,1
688,Carga Geral A,2023-01-10,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
764,Carga Geral A,2023-01-11,Los Angeles,Combustível,"19,891.28",Combustível em Los Angeles,,,,,,,,,1
765,Carga Geral A,2023-01-11,Hamburgo,Carregamento/Descarga,"13,798.50",Carregamento/descarga de 9199 m³ de Veículos,Veículos,9199.0,,,,,,,1
766,Carga Geral A,2023-01-11,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
767,Carga Geral A,2023-01-11,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
768,Carga Geral A,2023-01-11,Singapura,Carregamento/Descarga,"56,928.00",Carregamento/descarga de 47440 m³ de Contêineres,Contêineres,47440.0,,,,,,,1
832,Carga Geral A,2023-01-12,Los Angeles,Carregamento/Descarga,"8,025.00",Carregamento/descarga de 8025 m³ de Outros,Outros,8025.0,,,,,,,1
896,Carga Geral A,2023-01-13,Hamburgo,Manutenção,"4,149.50",Manutenção e reparos,,,,,,,,,1
897,Carga Geral A,2023-01-13,Singapura,Manutenção,"3,543.51",Manutenção e reparos,,,,,,,,,1
978,Carga Geral A,2023-01-14,Los Angeles,Manutenção,"3,161.88",Manutenção e reparos,,,,,,,,,1
1058,Carga Geral A,2023-01-15,Hamburgo,Combustível,"9,946.99",Combustível em Hamburgo,,,,,,,,,1
1059,Carga Geral A,2023-01-15,Hamburgo,Carregamento/Descarga,"33,537.00",Carregamento/descarga de 33537 m³ de Outros,Outros,33537.0,,,,,,,1
1060,Carga Geral A,2023-01-15,Singapura,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1061,Carga Geral A,2023-01-15,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1062,Carga Geral A,2023-01-15,Roterdã,Manutenção,"3,574.15",Manutenção e reparos,,,,,,,,,1
1126,Carga Geral A,2023-01-16,Singapura,Manutenção,"3,811.88",Manutenção e reparos,,,,,,,,,1
1201,Carga Geral A,2023-01-17,Singapura,Taxas Portuárias,"2,879.20",Taxas portuárias em Singapura,,,,,,,,,1
1202,Carga Geral A,2023-01-17,Roterdã,Manutenção,"3,605.41",Manutenção e reparos,,,,,,,,,1
1279,Carga Geral A,2023-01-18,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1359,Carga Geral A,2023-01-19,Xangai,Combustível,"20,230.62",Combustível em Xangai,,,,,,,,,1
1360,Carga Geral A,2023-01-19,Singapura,Manutenção,"3,700.72",Manutenção e reparos,,,,,,,,,1
1361,Carga Geral A,2023-01-19,Los Angeles,Taxas Portuárias,"5,244.13",Taxas portuárias em Los Angeles,,,,,,,,,1
1445,Carga Geral A,2023-01-20,Hamburgo,Combustível,"10,876.29",Combustível em Hamburgo,,,,,,,,,1
1517,Carga Geral A,2023-01-21,Singapura,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1585,Carga Geral A,2023-01-22,Los Angeles,Combustível,"21,966.10",Combustível em Los Angeles,,,,,,,,,1
1586,Carga Geral A,2023-01-22,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1651,Carga Geral A,2023-01-23,Los Angeles,Combustível,"25,743.33",Combustível em Los Angeles,,,,,,,,,1
1652,Carga Geral A,2023-01-23,Xangai,Taxas Portuárias,"4,834.56",Taxas portuárias em Xangai,,,,,,,,,1
1653,Carga Geral A,2023-01-23,Xangai,Manutenção,"1,082.04",Manutenção e reparos,,,,,,,,,1
1654,Carga Geral A,2023-01-23,Singapura,Taxas Portuárias,"4,179.15",Taxas portuárias em Singapura,,,,,,,,,1
1655,Carga Geral A,2023-01-23,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1723,Carga Geral A,2023-01-24,Hamburgo,Manutenção,"1,468.13",Manutenção e reparos,,,,,,,,,1
1724,Carga Geral A,2023-01-24,Hamburgo,Manutenção,"1,248.96",Manutenção e reparos,,,,,,,,,1
1725,Carga Geral A,2023-01-24,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1726,Carga Geral A,2023-01-24,Hamburgo,Taxas Portuárias,"2,280.29",Taxas portuárias em Hamburgo,,,,,,,,,1
1727,Carga Geral A,2023-01-24,Hamburgo,Taxas Portuárias,"2,868.93",Taxas portuárias em Hamburgo,,,,,,,,,1
1791,Carga Geral A,2023-01-25,Roterdã,Carregamento/Descarga,"31,740.00",Carregamento/descarga de 39675 m³ de Carga Solta,Carga Solta,39675.0,,,,,,,1
1792,Carga Geral A,2023-01-25,Hamburgo,Combustível,"12,948.40",Combustível em Hamburgo,,,,,,,,,1
1793,Carga Geral A,2023-01-25,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1794,Carga Geral A,2023-01-25,Hamburgo,Combustível,"21,473.51",Combustível em Hamburgo,,,,,,,,,1
1795,Carga Geral A,2023-01-25,Hamburgo,Carregamento/Descarga,"33,204.00",Carregamento/descarga de 27670 m³ de Contêineres,Contêineres,27670.0,,,,,,,1
1868,Carga Geral A,2023-01-26,Hamburgo,Manutenção,"3,647.80",Manutenção e reparos,,,,,,,,,1
1869,Carga Geral A,2023-01-26,Singapura,Carregamento/Descarga,"24,818.40",Carregamento/descarga de 20682 m³ de Contêineres,Contêineres,20682.0,,,,,,,1
1870,Carga Geral A,2023-01-26,Hamburgo,Carregamento/Descarga,"20,170.00",Carregamento/descarga de 40340 m³ de Granéis Sólidos,Granéis Sólidos,40340.0,,,,,,,1
1871,Carga Geral A,2023-01-26,Singapura,Combustível,"23,499.05",Combustível em Singapura,,,,,,,,,1
1872,Carga Geral A,2023-01-26,Los Angeles,Manutenção,"3,215.46",Manutenção e reparos,,,,,,,,,1
1936,Carga Geral A,2023-01-27,Singapura,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
1937,Carga Geral A,2023-01-27,Singapura,Taxas Portuárias,"5,154.82",Taxas portuárias em Singapura,,,,,,,,,1
1938,Carga Geral A,2023-01-27,Hamburgo,Taxas Portuárias,"6,725.91",Taxas portuárias em Hamburgo,,,,,,,,,1
1939,Carga Geral A,2023-01-27,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
2014,Carga Geral A,2023-01-28,Hamburgo,Carregamento/Descarga,"49,058.00",Carregamento/descarga de 49058 m³ de Outros,Outros,49058.0,,,,,,,1
2015,Carga Geral A,2023-01-28,Xangai,Carregamento/Descarga,"17,168.00",Carregamento/descarga de 17168 m³ de Outros,Outros,17168.0,,,,,,,1
2016,Carga Geral A,2023-01-28,Xangai,Taxas Portuárias,"3,537.94",Taxas portuárias em Xangai,,,,,,,,,1
2098,Carga Geral A,2023-01-29,Singapura,Carregamento/Descarga,"21,550.80",Carregamento/descarga de 17959 m³ de Contêineres,Contêineres,17959.0,,,,,,,1
2099,Carga Geral A,2023-01-29,Xangai,Taxas Portuárias,"3,066.60",Taxas portuárias em Xangai,,,,,,,,,1
2100,Carga Geral A,2023-01-29,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
2101,Carga Geral A,2023-01-29,Singapura,Taxas Portuárias,"6,201.68",Taxas portuárias em Singapura,,,,,,,,,1
2176,Carga Geral A,2023-01-30,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,1
2177,Carga Geral A,2023-01-30,Singapura,Taxas Portuárias,"4,374.07",Taxas portuárias em Singapura,,,,,,,,,1
2178,Carga Geral A,2023-01-30,Xangai,Taxas Portuárias,"6,029.88",Taxas portuárias em Xangai,,,,,,,,,1
2179,Carga Geral A,2023-01-30,Roterdã,Manutenção,"3,095.28",Manutenção e reparos,,,,,,,,,1
2,Carga Geral B,2023-01-01,Los Angeles,Taxas Portuárias,"6,372.64",Taxas portuárias em Los Angeles,,,,,,,,,2
3,Carga Geral B,2023-01-01,Los Angeles,Combustível,"11,219.43",Combustível em Los Angeles,,,,,,,,,2
4,Carga Geral B,2023-01-01,Xangai,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
5,Carga Geral B,2023-01-01,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
6,Carga Geral B,2023-01-01,Roterdã,Taxas Portuárias,"4,688.73",Taxas portuárias em Roterdã,,,,,,,,,2
73,Carga Geral B,2023-01-02,Roterdã,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
74,Carga Geral B,2023-01-02,Xangai,Manutenção,"4,435.71",Manutenção e reparos,,,,,,,,,2
75,Carga Geral B,2023-01-02,Roterdã,Combustível,"15,782.46",Combustível em Roterdã,,,,,,,,,2
153,Carga Geral B,2023-01-03,Singapura,Manutenção,"3,198.57",Manutenção e reparos,,,,,,,,,2
229,Carga Geral B,2023-01-04,Hamburgo,Manutenção,"4,401.30",Manutenção e reparos,,,,,,,,,2
230,Carga Geral B,2023-01-04,Xangai,Taxas Portuárias,"2,821.84",Taxas portuárias em Xangai,,,,,,,,,2
231,Carga Geral B,2023-01-04,Los Angeles,Manutenção,"3,056.41",Manutenção e reparos,,,,,,,,,2
232,Carga Geral B,2023-01-04,Singapura,Taxas Portuárias,"3,324.21",Taxas portuárias em Singapura,,,,,,,,,2
233,Carga Geral B,2023-01-04,Hamburgo,Taxas Portuárias,"5,580.26",Taxas portuárias em Hamburgo,,,,,,,,,2
318,Carga Geral B,2023-01-05,Hamburgo,Manutenção,"1,357.08",Manutenção e reparos,,,,,,,,,2
319,Carga Geral B,2023-01-05,Singapura,Taxas Portuárias,"6,859.25",Taxas portuárias em Singapura,,,,,,,,,2
320,Carga Geral B,2023-01-05,Singapura,Manutenção,"2,207.91",Manutenção e reparos,,,,,,,,,2
321,Carga Geral B,2023-01-05,Hamburgo,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
322,Carga Geral B,2023-01-05,Xangai,Taxas Portuárias,"6,668.20",Taxas portuárias em Xangai,,,,,,,,,2
398,Carga Geral B,2023-01-06,Hamburgo,Combustível,"11,577.22",Combustível em Hamburgo,,,,,,,,,2
399,Carga Geral B,2023-01-06,Los Angeles,Seguros,"1,900.00",Seguro diário,,,,,,,,,2
400,Carga Geral B,2023-01-06,Los Angeles,Carregamento/Descarga,"15,862.80",Carregamento/descarga de 13219 m³ de Contêineres,Contêineres,13219.0,,,,,,,2
