Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Tonelagem
Graneleiro A,2023-01-01,Xangai,Taxas Portuárias,"4,741.06",Taxas portuárias em Xangai,,
Graneleiro B,2023-01-01,Xangai,Carga e Descarga,"631,908.00",Carga e descarga de 52659 toneladas de Carvão,Carvão,52659.0
Graneleiro B,2023-01-01,Hamburgo,Manutenção,"1,420.61",Manutenção e reparos,,
Graneleiro B,2023-01-01,Roterdã,Combustível,"23,403.81",Combustível em Roterdã,,
Graneleiro B,2023-01-01,Singapura,Carga e Descarga,"658,062.00",Carga e descarga de 36559 toneladas de Bauxita,Bauxita,36559.0
Graneleiro C,2023-01-01,Singapura,Carga e Descarga,"501,465.00",Carga e descarga de 33431 toneladas de Minério de Ferro,Minério de Ferro,33431.0
Graneleiro C,2023-01-01,Roterdã,Taxas Portuárias,"5,908.62",Taxas portuárias em Roterdã,,
Graneleiro C,2023-01-01,Roterdã,Combustível,"20,463.88",Combustível em Roterdã,,
Graneleiro D,2023-01-01,Hamburgo,Carga e Descarga,"761,748.00",Carga e descarga de 63479 toneladas de Carvão,Carvão,63479.0
Graneleiro D,2023-01-01,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-01,Xangai,Manutenção,"2,681.94",Manutenção e reparos,,
Graneleiro E,2023-01-01,Roterdã,Combustível,"28,645.45",Combustível em Roterdã,,
Graneleiro E,2023-01-01,Roterdã,Carga e Descarga,"742,284.00",Carga e descarga de 61857 toneladas de Carvão,Carvão,61857.0
Graneleiro E,2023-01-01,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-01,Roterdã,Manutenção,"4,622.19",Manutenção e reparos,,
Graneleiro A,2023-01-02,Hamburgo,Carga e Descarga,"1,210,960.00",Carga e descarga de 60548 toneladas de Fertilizantes,Fertilizantes,60548.0
Graneleiro A,2023-01-02,Roterdã,Carga e Descarga,"253,908.00",Carga e descarga de 21159 toneladas de Carvão,Carvão,21159.0
Graneleiro A,2023-01-02,Singapura,Manutenção,"3,128.99",Manutenção e reparos,,
Graneleiro A,2023-01-02,Xangai,Manutenção,"2,958.88",Manutenção e reparos,,
Graneleiro A,2023-01-02,Roterdã,Carga e Descarga,"443,148.00",Carga e descarga de 36929 toneladas de Carvão,Carvão,36929.0
Graneleiro B,2023-01-02,Los Angeles,Carga e Descarga,"719,316.00",Carga e descarga de 39962 toneladas de Bauxita,Bauxita,39962.0
Graneleiro B,2023-01-02,Hamburgo,Carga e Descarga,"427,005.00",Carga e descarga de 28467 toneladas de Minério de Ferro,Minério de Ferro,28467.0
Graneleiro B,2023-01-02,Xangai,Taxas Portuárias,"2,755.43",Taxas portuárias em Xangai,,
Graneleiro B,2023-01-02,Los Angeles,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-02,Singapura,Combustível,"9,646.54",Combustível em Singapura,,
Graneleiro C,2023-01-02,Hamburgo,Manutenção,"4,205.45",Manutenção e reparos,,
Graneleiro C,2023-01-02,Los Angeles,Combustível,"21,856.57",Combustível em Los Angeles,,
Graneleiro C,2023-01-02,Singapura,Manutenção,"3,186.78",Manutenção e reparos,,
Graneleiro C,2023-01-02,Los Angeles,Carga e Descarga,"783,040.00",Carga e descarga de 78304 toneladas de Grãos,Grãos,78304.0
Graneleiro C,2023-01-02,Singapura,Combustível,"15,083.46",Combustível em Singapura,,
Graneleiro D,2023-01-02,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro D,2023-01-02,Roterdã,Manutenção,"3,557.40",Manutenção e reparos,,
Graneleiro D,2023-01-02,Los Angeles,Manutenção,"2,648.25",Manutenção e reparos,,
Graneleiro D,2023-01-02,Xangai,Taxas Portuárias,"6,031.33",Taxas portuárias em Xangai,,
Graneleiro D,2023-01-02,Roterdã,Manutenção,"4,139.24",Manutenção e reparos,,
Graneleiro E,2023-01-02,Hamburgo,Combustível,"29,770.05",Combustível em Hamburgo,,
Graneleiro E,2023-01-02,Roterdã,Manutenção,"3,135.72",Manutenção e reparos,,
Graneleiro E,2023-01-02,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-02,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-02,Los Angeles,Carga e Descarga,"598,920.00",Carga e descarga de 59892 toneladas de Grãos,Grãos,59892.0
Graneleiro A,2023-01-03,Hamburgo,Combustível,"29,004.53",Combustível em Hamburgo,,
Graneleiro A,2023-01-03,Singapura,Seguros,"2,000.00",Seguro diário,,
Graneleiro A,2023-01-03,Roterdã,Combustível,"10,626.82",Combustível em Roterdã,,
Graneleiro B,2023-01-03,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro B,2023-01-03,Los Angeles,Combustível,"25,070.64",Combustível em Los Angeles,,
Graneleiro B,2023-01-03,Xangai,Taxas Portuárias,"6,117.58",Taxas portuárias em Xangai,,
Graneleiro B,2023-01-03,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-03,Los Angeles,Manutenção,"3,758.99",Manutenção e reparos,,
Graneleiro C,2023-01-03,Roterdã,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-03,Xangai,Manutenção,"1,089.60",Manutenção e reparos,,
Graneleiro C,2023-01-03,Xangai,Seguros,"2,000.00",Seguro diário,,
Graneleiro C,2023-01-03,Xangai,Carga e Descarga,"228,480.00",Carga e descarga de 15232 toneladas de Minério de Ferro,Minério de Ferro,15232.0
Graneleiro D,2023-01-03,Xangai,Carga e Descarga,"744,090.00",Carga e descarga de 74409 toneladas de Grãos,Grãos,74409.0
Graneleiro E,2023-01-03,Hamburgo,Seguros,"2,000.00",Seguro diário,,
Graneleiro E,2023-01-03,Los Angeles,Manutenção,"3,563.86",Manutenção e reparos,,
