Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Número de Contêineres,Tipo de Contêineres
Navio A,2023-01-01,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-01,Los Angeles,Taxas Portuárias,"3,968.74",Taxas portuárias em Los Angeles,,
Navio A,2023-01-01,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-01,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-01,Singapura,Taxas Portuárias,"4,160.89",Taxas portuárias em Singapura,,
Navio C,2023-01-01,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-01,Roterdã,Taxas Portuárias,"3,343.71",Taxas portuárias em Roterdã,,
Navio C,2023-01-01,Xangai,Taxas Portuárias,"1,981.75",Taxas portuárias em Xangai,,
Navio D,2023-01-01,Xangai,Combustível,"11,297.45",Combustível em Xangai,,
Navio D,2023-01-01,Hamburgo,Taxas Portuárias,"1,324.24",Taxas portuárias em Hamburgo,,
Navio E,2023-01-01,Singapura,Combustível,"9,006.37",Combustível em Singapura,,
Navio E,2023-01-01,Los Angeles,Combustível,"16,282.42",Combustível em Los Angeles,,
Navio E,2023-01-01,Xangai,Taxas Portuárias,"4,097.05",Taxas portuárias em Xangai,,
Navio E,2023-01-01,Singapura,Manutenção,"1,730.16",Manutenção e reparos,,
Navio A,2023-01-02,Singapura,Taxas Portuárias,"1,299.97",Taxas portuárias em Singapura,,
Navio A,2023-01-02,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-02,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-02,Singapura,Manutenção,"2,807.34",Manutenção e reparos,,
Navio B,2023-01-02,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-02,Hamburgo,Manuseio de Contêineres,"72,950.00",Manuseio de 1459 contêineres (20'),1459.0,20'
Navio C,2023-01-02,Los Angeles,Taxas Portuárias,"1,534.01",Taxas portuárias em Los Angeles,,
Navio C,2023-01-02,Los Angeles,Combustível,"13,016.29",Combustível em Los Angeles,,
Navio C,2023-01-02,Xangai,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-02,Xangai,Taxas Portuárias,"3,060.72",Taxas portuárias em Xangai,,
Navio C,2023-01-02,Roterdã,Manutenção,"1,544.28",Manutenção e reparos,,
Navio D,2023-01-02,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-02,Singapura,Combustível,"17,844.88",Combustível em Singapura,,
Navio E,2023-01-02,Roterdã,Combustível,"10,324.63",Combustível em Roterdã,,
Navio E,2023-01-02,Los Angeles,Combustível,"5,911.08",Combustível em Los Angeles,,
Navio E,2023-01-02,Xangai,Manutenção,"2,119.00",Manutenção e reparos,,
Navio E,2023-01-02,Hamburgo,Combustível,"8,427.41",Combustível em Hamburgo,,
Navio A,2023-01-03,Xangai,Taxas Portuárias,"4,206.54",Taxas portuárias em Xangai,,
Navio A,2023-01-03,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-03,Los Angeles,Combustível,"16,911.18",Combustível em Los Angeles,,
Navio A,2023-01-03,Hamburgo,Taxas Portuárias,"4,892.08",Taxas portuárias em Hamburgo,,
Navio B,2023-01-03,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio B,2023-01-03,Xangai,Combustível,"15,780.45",Combustível em Xangai,,
Navio B,2023-01-03,Los Angeles,Combustível,"12,539.08",Combustível em Los Angeles,,
Navio C,2023-01-03,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-03,Hamburgo,Manuseio de Contêineres,"71,100.00",Manuseio de 1422 contêineres (20'),1422.0,20'
Navio C,2023-01-03,Los Angeles,Manuseio de Contêineres,"91,950.00",Manuseio de 1839 contêineres (20'),1839.0,20'
Navio C,2023-01-03,Hamburgo,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-03,Singapura,Combustível,"12,475.82",Combustível em Singapura,,
Navio D,2023-01-03,Los Angeles,Taxas Portuárias,"4,554.38",Taxas portuárias em Los Angeles,,
Navio D,2023-01-03,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio D,2023-01-03,Singapura,Combustível,"12,438.83",Combustível em Singapura,,
Navio D,2023-01-03,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-03,Los Angeles,Manuseio de Contêineres,"153,760.00",Manuseio de 1922 contêineres (40'),1922.0,40'
Navio E,2023-01-03,Los Angeles,Combustível,"8,549.28",Combustível em Los Angeles,,
Navio A,2023-01-04,Los Angeles,Manutenção,"2,104.67",Manutenção e reparos,,
Navio A,2023-01-04,Singapura,Combustível,"17,065.55",Combustível em Singapura,,
Navio A,2023-01-04,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-04,Los Angeles,Seguros,"1,500.00",Seguro diário,,
Navio A,2023-01-04,Xangai,Taxas Portuárias,"2,090.34",Taxas portuárias em Xangai,,
Navio B,2023-01-04,Singapura,Taxas Portuárias,"4,950.87",Taxas portuárias em Singapura,,
Navio B,2023-01-04,Hamburgo,Manutenção,"2,736.62",Manutenção e reparos,,
Navio B,2023-01-04,Roterdã,Seguros,"1,500.00",Seguro diário,,
Navio C,2023-01-04,Roterdã,Taxas Portuárias,"4,632.76",Taxas portuárias em Roterdã,,
Navio C,2023-01-04,Hamburgo,Manuseio de Contêineres,"109,840.00",Manuseio de 1373 contêineres (40'),1373.0,40'
Navio C,2023-01-04,Roterdã,Taxas Portuárias,"1,580.30",Taxas portuárias em Roterdã,,
Navio D,2023-01-04,Los Angeles,Manuseio de Contêineres,"97,700.00",Manuseio de 1954 contêineres (20'),1954.0,20'
Navio D,2023-01-04,Singapura,Manuseio de Contêineres,"135,600.00",Manuseio de 1130 contêineres (Reefer),1130.0,Reefer
Navio D,2023-01-04,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-04,Singapura,Seguros,"1,500.00",Seguro diário,,
Navio E,2023-01-04,Roterdã,Combustível,"16,509.19",Combustível em Roterdã,,
Navio E,2023-01-04,Los Angeles,Combustível,"10,015.84",Combustível em Los Angeles,,
Navio E,2023-01-04,Los Angeles,Combustível,"6,016.45",Combustível em Los Angeles,,
Navio E,2023-01-04,Roterdã,Manuseio de Contêineres,"78,120.00",Manuseio de 651 contêineres (Reefer),651.0,Reefer
Navio A,2023-01-05,Los Angeles,Taxas Portuárias,"2,209.18",Taxas portuárias em Los Angeles,,
Navio B,2023-01-05,Roterdã,Taxas Portuárias,"4,802.16",Taxas portuárias em Roterdã,,
Navio B,2023-01-05,Los Angeles,Combustível,"18,225.16",Combustível em Los Angeles,,
Navio B,2023-01-05,Xangai,Combustível,"17,636.71",Combustível em Xangai,,
Navio B,2023-01-05,Singapura,Manuseio de Contêineres,"28,750.00",Manuseio de 575 contêineres (20'),575.0,20'
Navio B,2023-01-05,Hamburgo,Manuseio de Contêineres,"56,050.00",Manuseio de 1121 contêineres (20'),1121.0,20'
