id_log,SHIP_NAME,DATE_,Porto,TYPE_COST,VALUE,Descrição,LOAD_NAME,VOLUME,TEMP,WEIGHT_TONNAGE,NUMBER_OF_CONTAINERS,NUMBER_OF_VEHICLES
1,Carga Geral A,2023-01-01,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
2,Carga Geral B,2023-01-01,Los Angeles,Taxas Portuárias,6372.64,Taxas portuárias em Los Angeles,,,,,,
3,Carga Geral B,2023-01-01,Los Angeles,Combustível,11219.43,Combustível em Los Angeles,,,,,,
4,Carga Geral B,2023-01-01,Xangai,Seguros,1900.0,Seguro diário,,,,,,
5,Carga Geral B,2023-01-01,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,
6,Carga Geral B,2023-01-01,Roterdã,Taxas Portuárias,4688.73,Taxas portuárias em Roterdã,,,,,,
7,Carga Geral C,2023-01-01,Roterdã,Taxas Portuárias,2647.09,Taxas portuárias em Roterdã,,,,,,
8,Carga Geral C,2023-01-01,Roterdã,Combustível,23183.31,Combustível em Roterdã,,,,,,
9,Carga Geral C,2023-01-01,Roterdã,Combustível,15515.36,Combustível em Roterdã,,,,,,
10,Carga Geral C,2023-01-01,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,
11,Carga Geral C,2023-01-01,Hamburgo,Manutenção,3918.61,Manutenção e reparos,,,,,,
12,Carga Geral D,2023-01-01,Los Angeles,Taxas Portuárias,2925.61,Taxas portuárias em Los Angeles,,,,,,
13,Carga Geral E,2023-01-01,Xangai,Combustível,22900.98,Combustível em Xangai,,,,,,
14,Carga Geral A,2023-01-02,Xangai,Seguros,1900.0,Seguro diário,,,,,,
15,Carga Geral B,2023-01-02,Roterdã,Seguros,1900.0,Seguro diário,,,,,,
16,Carga Geral B,2023-01-02,Xangai,Manutenção,4435.71,Manutenção e reparos,,,,,,
17,Carga Geral B,2023-01-02,Roterdã,Combustível,15782.46,Combustível em Roterdã,,,,,,
18,Carga Geral C,2023-01-02,Los Angeles,Combustível,16297.29,Combustível em Los Angeles,,,,,,
19,Carga Geral D,2023-01-02,Hamburgo,Combustível,8657.12,Combustível em Hamburgo,,,,,,
