id_log,Nome do Navio,Data,Porto,Tipo de Custo,Valor (USD),Descrição,Tipo de Carga,Volume,Temperatura,Volume (m³),Tonelagem,Número de Contêineres,Tipo de Contêineres,Número de Veículos,Tipo de Veículos
1,Carga Geral A,2023-01-01,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,,,,
2,Carga Geral B,2023-01-01,Los Angeles,Taxas Portuárias,6372.64,Taxas portuárias em Los Angeles,,,,,,,,,
3,Carga Geral B,2023-01-01,Los Angeles,Combustível,11219.43,Combustível em Los Angeles,,,,,,,,,
4,Carga Geral B,2023-01-01,Xangai,Seguros,1900.0,Seguro diário,,,,,,,,,
5,Carga Geral B,2023-01-01,Hamburgo,Seguros,1900.0,Seguro diário,,,,,,,,,
6,Carga Geral B,2023-01-01,Roterdã,Taxas Portuárias,4688.73,Taxas portuárias em Roterdã,,,,,,,,,
7,Carga Geral C,2023-01-01,Roterdã,Taxas Portuárias,2647.09,Taxas portuárias em Roterdã,,,,,,,,,
8,Carga Geral C,2023-01-01,Roterdã,Combustível,23183.31,Combustível em Roterdã,,,,,,,,,
9,Carga Geral C,2023-01-01,Roterdã,Combustível,15515.36,Combustível em Roterdã,,,,,,,,,
10,Carga Geral C,2023-01-01,Los Angeles,Seguros,1900.0,Seguro diário,,,,,,,,,
11,Carga Geral C,2023-01-01,Hamburgo,Manutenção,3918.61,Manutenção e reparos,,,,,,,,,
12,Carga Geral D,2023-01-01,Los Angeles,Taxas Portuárias,2925.61,Taxas portuárias em Los Angeles,,,,,,,,,
13,Carga Geral E,2023-01-01,Xangai,Combustível,22900.98,Combustível em Xangai,,,,,,,,,
14,Frigorífico A,2023-01-01,Hamburgo,Taxas Portuárias,6769.82,Taxas portuárias em Hamburgo,,,,,,,,,
15,Frigorífico B,2023-01-01,Singapura,Manutenção,3851.05,Manutenção e reparos,,,,,,,,,
16,Frigorífico B,2023-01-01,Singapura,Carregamento/Descarga,6817.0,Carregamento/descarga de 6817 m³ de Laticínios a -12°C,Laticínios,,-12.0,6817.0,,,,,
